city_id,city_name,state_id
1216,Aliso Viejo,5
1217,East Lansing,24
1218,Fort Washington,40
1219,West Bend,53
1220,Georgetown,19
1221,Lancaster,46
1222,San Bruno,5
1223,Westbrook,21
1224,Arlington,23
1225,Manteca,5
1226,Deland,10
1227,Lufkin,46
1228,South Boston,23
1229,Lancaster,37
1230,Bristol,45
1231,Gretna,20
1232,Elkton,22
1233,Goodlettsville,45
1234,Coralville,17
1235,Livingston,32
1236,Greenwood,43
1237,Plymouth,25
1238,Wheeling,52
1239,Deer Park,46
1240,Sumner,51
1241,Little Elm,46
1242,Westlake,37
1243,Stevens Point,53
1244,Port Arthur,46
1245,Marquette,24
1246,Middletown,8
1247,Zanesville,37
1248,Piscataway,32
1249,Michigan City,16
1250,Spring Hill,10
1251,Maple Grove,25
1252,Stillwater,25
1253,Horsham,40
1254,Spring Hill,45
1255,Marshfield,53
1256,Sebring,10
1257,Lagrange,11
1258,Buckeye,3
1259,Freehold,32
1260,Rocklin,5
1261,Auburn,34
1262,Quincy,15
1263,Simsbury,7
1264,Methuen,23
1265,Sammamish,51
1266,Warrenton,50
1267,Los Alamos,33
1268,Goleta,5
1269,Aberdeen,22
1270,Queen Creek,3
1271,Titusville,10
1272,North Wales,40
1273,Friendswood,46
1274,Bemidji,25
1275,Moorestown,32
1276,Morgan Hill,5
1277,West Haven,7
1278,Perth Amboy,32
1279,Lansdale,40
1280,Melrose,23
1281,Monterey Park,5
1282,Leesburg,10
1283,Concord,23
1284,Sierra Vista,3
1285,Romeoville,15
1286,Roseburg,39
1287,Cerritos,5
1288,Norfolk,29
1289,Groton,7
1290,Tarrytown,34
1291,Branson,27
1292,Cleburne,46
1293,West Fargo,36
1294,Vicksburg,26
1295,Shelby,35
1296,Holly Springs,35
1297,West Lafayette,16
1298,Fenton,24
1299,Wakefield,23
1300,Sanford,35
1301,Fremont,29
1302,North Platte,29
1303,Bluffton,43
1304,Clarkston,24
1305,Newark,37
1306,La Mirada,5
1307,Highlands Ranch,6
1308,Manitowoc,53
1309,National City,5
1310,Hicksville,34
1311,Palm Coast,10
1312,San Fernando,5
1313,Suffield,7
1314,Hempstead,34
1315,West Mifflin,40
1316,Kernersville,35
1317,Coral Gables,10
1318,Oak Creek,53
1319,Blacksburg,50
1320,Butte,28
1321,Peachtree City,11
1322,Hutchinson,18
1323,Kent,37
1324,Sherman,46
1325,Clovis,33
1326,Bonita Springs,10
1327,Griffin,11
1328,Chillicothe,37
1329,Eatontown,32
1330,Carlsbad,33
1331,Willoughby,37
1332,Windsor Locks,7
1333,Lorton,50
1334,Oviedo,10
1335,Plainfield,32
1336,Mebane,35
1337,South Windsor,7
1338,Plymouth,24
1339,Berwyn,15
1340,Hemet,5
1341,Tewksbury,23
1342,Blue Bell,40
1343,Maywood,15
1344,Brighton,24
1345,Manhattan Beach,5
1346,Franklin,53
1347,Mckeesport,40
1348,Marlton,32
1349,Union,32
1350,Canton,23
1351,Westfield,16
1352,Midlothian,46
1353,Woodland,5
1354,Chesterfield,50
1355,East Providence,42
1356,Destin,10
1357,Attleboro,23
1358,Kannapolis,35
1359,Rosemead,5
1360,Rosenberg,46
1361,Pewaukee,53
1362,West Columbia,43
1363,New Castle,40
1364,Twinsburg,37
1365,Springfield,45
1366,Rutherfordton,35
1367,West Springfield,23
1368,Moorhead,25
1369,Lodi,5
1370,Antioch,15
1371,Longmeadow,23
1372,Kew Gardens,34
1373,Newberg,39
1374,Fort Meade,22
1375,Edwardsville,15
1376,Manhattan,34
1377,Carbondale,15
1378,Fitchburg,23
1379,Chaska,25
1380,Hingham,23
1381,Maumee,37
1382,Coraopolis,40
1383,West Hollywood,5
1384,Coral Springs,10
1385,Pittston,40
1386,Quantico,50
1387,Easton,22
1388,Sevierville,45
