skill_id,skill_name,skill_type_id,skill_subtype_id
53873,Spyglass,,
53874,Spyware,,
53875,SQ,,
53876,SQA Team Test,,
53877,SQAD,,
53878,SQF,,
53879,SQF (Safe Quality Food) Trainer,4,
53880,SQL,,
53881,SQL (advanced queries,,
53882,SQL (DML),,
53883,SQL (Oracle,,
53884,SQL 2008,,
53885,SQL AlwaysOn,,
53886,SQL Azure,,
53887,SQL CLR,,
53888,SQL Clustering,,
53889,SQL DB2,,
53890,SQL Developer Data Modeler,,
53891,SQL Express,,
53892,SQL Injection,,
53893,SQL Loader,,
53894,SQL Navigator,,
53895,SQL PL,,
53896,SQL Replication,,
53897,SQL Report Writing,,
53898,SQL Server,,
53899,SQL Server 2000-2008,,
53900,SQL Server 2005/08/12/14/17,,
53901,SQL Server 2019,,
53902,SQL Server 7.0,,
53903,SQL Server Analysis Service,,
53904,SQL Server Analysis Services (SSAS),,
53905,SQL Server Certified,4,
53906,SQL Server DBA’s,,
53907,SQL Server Enterprise Edition 2012,,
53908,SQL Server enterprise management,,
53909,SQL Server Integration Services,,
53910,SQL Server Integration Services (SSIS),,
53911,"SQL server Integration services (SSIS),SQL Server Analysis Services (SSAS)",,
53912,SQL Server Management Studio,,
53913,SQL Server Reporting Services (SSRS),,
53914,SQL Tools,,
53915,SQL Tuning,,
53916,SQL:2008,,
53917,SQL*Loader,,
53918,SQL*Net,,
53919,SQL*Net/ Net8,,
53920,SQL*Plus,,
53921,SQL400,,
53922,SQLAlchemy,,
53923,SQLBase,,
53924,SQLCE,,
53925,SQLite,,
53926,SQLJ,,
53927,SQLLDR,,
53928,Sqlmap,,
53929,SQLWindows,,
53930,SQLXML,,
53931,SQLyog,,
53932,Sqoop,,
53933,SQR,,
53934,SQS,,
53935,Square,,
53936,Square D,,
53937,Square Register,,
53938,Squarespace,,
53939,SquareSpace Development,,
53940,Squash,,
53941,Squid,,
53942,SquidGuard,,
53943,Squidoo,,
53944,Squirrel,,
53945,Squirrelmail,,
53946,Squirrels,,
53947,Squish,,
53948,Sr Recruiter,,
53949,SR-IOV,,
53950,Sr. Leadership Collaboration,,
53951,SR&ED,,
53952,SRAM,,
53953,SRC Cash Flow Analyzer Pro,,
53954,SRC Cash Flow Forecasting,,
53955,Srcum,,
53956,SRDF,,
53957,SRDS,,
53958,SRED,,
53959,SRM,,
53960,SRM 5.0,,
53961,SRP,,
53962,SRSsoft SRS EHR,,
53963,SRST,,
53964,SRT,,
53965,SRTP,,
53966,SRX,,
53967,SS&C PTS,,
53968,SS&C Technologies Skyline Property Management,,
53969,SS7,,
53970,SSA Global BPCS,,
53971,SSA Global Infinium Financial Management,,
53972,SSA Global Supply Chain Management,,
53973,SSA Global Warehouse Management System WMS,,
53974,SSADM,,
53975,SSAE 16,,
53976,SSAS,,
53977,SSAS 2008,,
53978,SSBI,,
53979,SSCP,,
53980,SSD,,
53981,SSE,,
53982,SSE2,,
53983,SSEP,,
53984,SSH,,
53985,SSH Client,,
53986,SSI,,
53987,SSIS,,
53988,SSIS-ETL,,
53989,SSIS),,
53990,SSL,,
53991,SSL & TLS Certificates Software,,
53992,SSL 9000J,,
53993,SSL and VPN setup and configuration,,
53994,SSL Certificates,,
53995,SSL Duality,,
53996,SSMS,,
53997,SSO,,
53998,SSontech,,
53999,SSOP,,
54000,SSP,,
54001,SSPS,,
54002,SSRS,,
54003,SST Development Group SSToolbox,,
54004,SST Development Group Stratus,,
54005,St. Paul Travelers e-CARMA,,
54006,ST&E,,
54007,STAAD,,
54008,Staad Pro,,
54009,STAAD-Pro,,
54010,Stability Ball,,
54011,Stability Operations,,
54012,Stability Programs,,
54013,Stability Studies,,
54014,Stability Testing,,
54015,Stabilization,,
54016,Stabilizers,,
54017,Stable Isotope Analysis,,
54018,Stable Isotopes,,
54019,Stable Management,,
54020,Stable Value,,
54021,Stac Software ReachOut,,
54022,Stack,,
54023,Stack Overflow for Teams,,
54024,Stack smashing protection SSP software,,
54025,Stacker,,
54026,Stackla,1,18
54027,Stadiums,,
54028,STAF,,
54029,Staff Acquisition,,
54030,Staff Administration,,
54031,Staff Appraisal,,
54032,Staff Assesment & Development,,
54033,Staff Assessment,,
54034,Staff Augmentation,,
54035,Staff Building,,
54036,staff coaching,,
54037,Staff Communication,,
54038,Staff Coordination,,
54039,Staff Development,,
54040,Staff Engagement,,
54041,Staff Engagement & Retention,,
54042,Staff Functions,,
54043,Staff Hiring,,
54044,Staff Leadership & Training,,
54045,Staff Management,,
54046,Staff Management and Development,,
54047,Staff Members,,
54048,Staff Mentoring,,
54049,Staff Orientation,,
54050,Staff Oversight,,
54051,Staff Performance Reviews,,
54052,Staff Planning,,
54053,Staff Planning/Management,,
54054,Staff Recruitment & Retention,,
54055,Staff Relations,,
54056,Staff Retention,,
54057,Staff Scheduling,,
54058,Staff scheduling software,,
54059,Staff Supervision,,
54060,Staff Training,,
54061,Staff Training and Development,,
54062,Staff Training and Mentoring,,
54063,Staff Training and Supervision,,
54064,Staff Utilization,,
54065,StaffHub,,
54066,Staffing,,
54067,Staffing & Compensation,,
54068,Staffing Agencies,,
54069,Staffing Analysis,,
54070,Staffing Coordination,,
54071,Staffing Development,,
54072,Staffing Industry,,
54073,Staffing Initiatives & Transitions,,
54074,Staffing Leader,,
54075,Staffing Management,,
54076,Staffing Metrics,,
54077,Staffing Models,,
54078,Staffing Operations,,
54079,Staffing Plans,,
54080,Staffing Processes,,
54081,Staffing Services,,
54082,Staffing Software,,
54083,Staffing Solutions Enterprises Staff Matrix,,
54084,Staffing Specialist,,
54085,Staffing Strategy,,
54086,staffing strategy design,,
54087,StaffingSoft Staffing Edition,,
54088,Staffline Pro,,
54089,StaffSuite,,
54090,Staffware,,
54091,Staffworks,,
54092,Stage,,
54093,Stage Carpentry,,
54094,Stage Combat,,
54095,Stage Direction,,
54096,Stage Lighting,,
54097,Stage Make-up,,
54098,Stage Management,,
54099,Stage Performance,,
54100,Stage Rigging,,
54101,Stage Shows,,
54102,Stage-Gate,,
54103,Stage3D,,
54104,Stagecraft,,
54105,Stagefright,,
54106,Stages of Change,,
54107,Staging to Live,,
54108,Stain,,
54109,Stain Removal,,
54110,Stained Glass,,
54111,Staining,,
54112,Stainless Steel,,
54113,Stair Lifts,,
54114,Stairs,,
54115,Stakeholder Analysis,,
54116,Stakeholder Collaboration,,
54117,Stakeholder Engagement,,
54118,Stakeholder Interview,,
54119,Stakeholder Management,,
54120,Stakeholder Mapping,,
54121,Stakeholder Relations,,
54122,Stakeholder Relationship Management,,
54123,Stakeholder Relationships,,
54124,Stakeholder Workshops,,
54125,Stamp,,
54126,Stamp Duty,,
54127,Stamped,,
54128,Stamping,,
54129,Stamping Presses,,
54130,Stamps.com software,,
54131,Stan,,
54132,Stand-up Comedy,,
54133,Standard & Poor's Capital IQ Compustat,,
54134,Standard Cell,,
54135,Standard costing,,
54136,Standard Costs,,
54137,Standard Generalized Markup Language (SGML),,
54138,Standard generalized markup language SGML,,
54139,Standard Installation and Division Personnel Reporting System SIDPERS,,
54140,Standard of Care,,
54141,Standard Operating Procedure (SOP),,
54142,Standard Operating Procedures,,
54143,Standard Operating Procedures Software,,
54144,Standard Setting,,
54145,Standard Template Library (STL),,
54146,Standard Widget Toolkit (SWT),,
54147,Standard Work,,
54148,Standardization & Review,,
54149,Standardized general markup language SGML,,
54150,Standardized Testing,,
54151,Standardized Work,,
54152,Standards Alignment,,
54153,Standards and Quality driven engineering - RTCA,,
54154,Standards Compliance,,
54155,Standards Development,,
54156,Standards du web,,
54157,Standards Of Practice,,
54158,Standards-based,,
54159,Standards-based Instruction,,
54160,Standby,,
54161,Standby Generators,,
54162,Standees,,
54163,Standpipe Studios Vertabase,,
54164,Stanford Business Software MINOS,,
54165,Stanford Business Software SNOPT,,
54166,Stanford CoreNLP,,
54167,Stanislavski,,
54168,stap,,
54169,STAR,,
54170,Star Navigator,,
54171,Star Schema,,
54172,Star Software Fixed Asset Depreciation,,
54173,Star Software Materiality Calculator,,
54174,Star Tec Software Hercules Export,,
54175,Star Wars,,
54176,Star-CCM+,,
54177,STAR-CD,,
54178,Starbuilder,,
54179,Starcal,,
54180,Starch,,
54181,Starcraft 2,,
54182,StarData,,
54183,Starfield,1,18
54184,Starfighter Pilot,,
54185,Starkey Laboratories ProHear,,
54186,StarLIMS,,
54187,Starling,,
54188,StarOffice,,
54189,Starpint Software Super Slug,,
